inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
149,73,1,214,18,549,2025-05-18
150,73,1,158,24,878,2024-08-12
151,74,4,69,24,533,2025-04-02
152,74,1,18,49,385,2024-01-08
153,75,4,470,36,314,2024-10-19
154,76,3,248,47,474,2025-10-26
155,77,2,69,27,833,2024-02-21
156,77,3,144,10,341,2025-08-29
157,78,2,113,27,235,2024-04-06
158,78,5,408,29,743,2025-12-04
159,79,1,121,20,966,2025-12-12
160,80,1,75,27,971,2025-12-09
161,80,5,2,50,257,2024-03-11
162,81,2,54,40,473,2024-02-03
163,81,3,11,28,540,2026-03-01
164,81,1,332,47,517,2025-01-22
165,82,1,444,43,740,2024-01-10
166,83,4,272,26,300,2025-02-20
167,83,5,413,10,696,2025-09-20
168,83,4,352,36,249,2025-11-14
169,84,2,47,27,643,2024-04-19
170,84,1,83,16,966,2024-12-16
171,85,1,167,46,664,2025-09-30
172,85,4,204,11,299,2024-08-10
173,86,2,463,35,806,2025-01-19
174,86,3,348,28,354,2025-12-11
175,86,1,222,49,344,2024-10-21
176,87,3,166,40,862,2024-02-03
177,87,3,493,14,939,2025-02-04
178,88,4,436,28,450,2026-01-21
179,89,2,386,49,794,2025-04-04
180,89,5,356,36,349,2024-10-29
181,90,5,24,14,567,2025-11-15
182,90,4,472,13,320,2024-12-01
183,91,5,81,40,812,2025-09-07
184,92,3,58,30,939,2024-12-29
185,93,3,294,38,650,2026-01-03
186,93,1,241,18,939,2025-12-18
187,94,4,342,28,700,2025-12-21
188,94,4,479,15,525,2025-06-28
189,94,4,133,30,210,2024-02-20
190,95,4,107,44,670,2025-02-02
191,95,1,172,42,508,2024-12-11
192,96,2,396,30,908,2025-02-11
193,97,3,354,50,339,2026-03-10
194,97,3,172,50,824,2024-04-14
195,97,4,339,12,415,2024-02-19
196,98,3,79,32,436,2024-02-22
197,98,2,238,50,993,2024-11-09
198,99,5,368,39,211,2024-02-10
199,99,4,65,50,755,2024-01-05
200,100,4,373,16,774,2024-03-06
201,100,5,374,32,871,2026-01-30
